user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
bokchoiii#2235,4,2,0,0,4,0,0,0,0,0,0,14,22,11,0,30,33,0,0,0,0,2,5,0,127
SunbreakerforLife#6989,1,0,0,0,0,0,0,0,0,0,1,3,2,2,17,30,12,2,1,0,4,1,0,0,76
Lee🐧#0890,1,0,0,0,0,0,0,0,0,0,0,0,13,7,0,9,3,2,1,0,0,0,0,2,38
crackprosh#2221,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,36,1,0,2,2,13,2,2,2,66
FatMac#8726,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,12
Armando#9710,0,6,1,4,0,0,0,0,0,0,0,0,0,0,12,31,35,9,1,5,0,7,2,5,118
Drewnami#6797,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
parappa#2423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Heyzeus#5605,0,0,1,0,0,0,0,0,0,0,1,19,4,5,4,5,6,2,3,6,0,3,5,1,65
Zeni#9219,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
soup#8488,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,9
ChrasSC#3466,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,7
cdorner#9745,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,0,2,0,0,0,0,4,1,0,16
wlofaubro#7636,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,8,6,0,0,20
Hosea#8894,0,0,0,0,0,0,0,1,1,0,0,14,3,1,5,0,0,4,2,2,2,0,1,0,36
breezyexcursion#9570,0,0,0,0,0,0,0,0,6,1,1,0,0,0,8,32,3,0,7,0,0,0,1,0,59
Hiten#5040,0,0,0,0,0,0,0,0,4,0,0,34,19,2,2,17,6,0,0,6,4,2,2,0,98
Barinade88#3367,0,0,0,0,0,0,0,0,1,1,3,24,10,5,25,7,12,6,0,20,13,0,0,0,127
renavlt#4826,0,0,0,0,0,0,0,0,0,0,0,21,7,1,3,14,9,0,1,3,1,6,1,0,67
ari5#1107,0,0,0,0,0,0,0,0,0,0,0,6,4,1,7,10,1,0,0,0,0,6,0,0,35
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,5,0,0,0,0,0,17
MegaTech#3319,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,0,0,0,0,9
Komb#7546,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,6
TK#9181,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,1,0,1,0,1,4,0,42
Sicachu#9075,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,26,0,0,0,0,0,4,0,0,61
Tatsumaki#8792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,0,7
uglybass#1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14
Neoconkers#1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,8,0,18
total,7,14,6,7,6,2,4,2,12,2,6,135,103,73,129,268,136,28,27,48,52,46,34,10,1157
