user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Sicachu#9075,45,0,0,15,5,1,0,0,0,0,0,0,54,94,69,146,48,191,177,58,49,43,12,13,1020
renavlt#4826,2,0,0,0,0,0,0,0,0,0,1,5,26,18,10,2,2,44,34,30,9,23,4,0,210
Armando#9710,26,0,0,4,0,0,0,0,0,0,0,0,20,8,5,0,14,13,52,26,0,3,0,2,173
Heyzeus#5605,20,1,0,0,0,0,0,0,2,1,10,11,29,38,2,0,1,44,4,5,29,37,5,6,245
Hosea#8894,4,0,0,0,0,0,0,0,1,0,9,2,0,9,14,1,6,56,16,20,1,9,9,3,160
TK#9181,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,89
FatMac#8726,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,4,3,15
Hiten#5040,37,1,0,0,0,0,0,0,18,4,20,25,70,13,0,10,8,146,64,11,36,0,0,2,465
Drewnami#6797,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
soup#8488,3,0,0,0,0,0,0,0,7,0,0,4,4,0,0,0,0,0,0,56,45,11,0,0,130
bokchoiii#2235,1,8,0,1,0,0,0,0,0,0,0,22,26,0,0,0,31,0,15,0,0,2,0,0,106
Tatsumaki#8792,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,1,0,0,0,8
MrMallard#2805,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Barinade88#3367,0,7,0,5,0,0,0,0,0,0,40,2,0,1,11,4,0,0,0,0,4,6,0,0,80
ChrasSC#3466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BatmanVonDoom#4077,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,14
jesus115#9404,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,31
Lee🐧#0890,0,0,2,0,3,2,0,0,0,0,0,2,21,6,0,6,0,0,0,0,0,0,0,0,42
crackprosh#2221,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,58,0,0,68
ari5#1107,0,0,0,1,1,2,0,0,0,0,0,7,1,0,8,1,0,0,1,28,0,1,1,0,52
teepan#5598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SunbreakerforLife#6989,0,0,0,0,0,4,0,0,0,0,0,0,0,13,35,12,0,0,0,6,0,0,3,0,73
cdorner#9745,0,0,0,0,0,0,0,1,2,2,4,3,2,2,1,0,0,0,4,6,10,0,0,0,37
wlofaubro#7636,0,0,0,0,0,0,0,1,7,1,36,21,41,60,27,47,13,5,55,56,24,0,6,13,413
breezyexcursion#9570,0,0,0,0,0,0,0,0,1,1,2,2,24,22,33,46,43,7,4,70,0,62,6,0,323
evae#8174,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,6,0,40
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,18,0,4,0,0,0,26
MegaTech#3319,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
uglybass#1046,0,0,0,0,0,0,0,0,0,0,24,24,37,85,0,0,0,0,0,0,0,0,0,0,170
Neoconkers#1373,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,67,8,0,0,0,1,0,3,2,94
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,34,87,20,0,255
Komb#7546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
total,176,33,4,28,10,10,0,2,38,11,156,132,357,371,235,351,174,506,448,515,253,377,79,112,4378
