user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
evae#8174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bokchoiii#2235,1,1,1,1,0,0,0,0,0,0,0,6,94,3,74,4,0,2,0,0,0,0,1,5,193
Heyzeus#5605,3,1,0,0,0,0,0,0,0,0,3,2,13,5,16,0,7,0,0,2,4,0,0,0,56
teepan#5598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
crackprosh#2221,0,6,0,0,0,0,0,0,0,0,0,0,10,0,16,0,7,4,22,0,1,0,0,0,66
Chucky#6989,0,2,0,0,0,0,0,0,0,1,0,4,8,0,18,3,5,4,0,0,0,0,0,0,45
Zeni#9219,0,2,3,2,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,29
SaltyPirate#1806,0,0,1,0,0,0,0,0,0,0,0,0,0,1,39,4,9,4,0,0,0,10,0,0,68
cdorner#9745,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,0,1,0,1,35,2,0,0,0,46
Tatsumaki#8792,0,0,0,0,0,0,2,1,3,0,0,0,0,0,14,0,4,0,1,2,0,0,1,0,28
renavlt#4826,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,10,0,0,3,0,0,22
Hiten#5040,0,0,0,0,0,0,0,1,14,0,23,26,34,3,18,8,0,0,4,29,0,0,3,1,164
breezyexcursion#9570,0,0,0,0,0,0,0,3,13,1,1,0,29,5,4,0,0,3,8,0,0,11,3,3,84
Hosea#8894,0,0,0,0,0,0,0,1,2,2,3,0,1,0,0,1,8,0,23,4,10,3,0,0,58
MrMallard#2805,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Barinade88#3367,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,1,13,3,38,0,0,4,0,0,69
ari5#1107,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,1,2,5,2,54,4,85,4,11,2,14,4,0,3,4,0,195
FatMac#8726,0,0,0,0,0,0,0,0,1,5,0,0,0,3,12,1,0,1,0,0,0,0,0,0,23
uglybass#1046,0,0,0,0,0,0,0,0,0,0,22,3,0,0,79,16,0,0,0,30,0,0,0,0,150
wlofaubro#7636,0,0,0,0,0,0,0,0,0,0,13,7,0,2,30,4,3,3,14,9,0,1,2,0,88
GB#6383,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,15
TK#9181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,14,12,31,0,0,0,0,81
soup#8488,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,9
BatmanVonDoom#4077,0,0,0,0,0,0,0,0,0,0,0,0,5,0,56,0,0,0,0,0,0,0,0,0,61
Lee🐧#0890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,5
SwordMaster13X#7574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
MegaTech#3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,3,0,0,0,0,0,44
Skullface#8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
joncz#4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
total,5,13,5,3,0,0,3,12,39,11,85,58,262,48,532,46,92,40,153,146,18,38,15,9,1633
