user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
SunbreakerforLife#6989,5,0,0,0,0,0,0,0,0,2,1,0,2,82,16,38,1,0,35,7,14,0,8,0,211
renavlt#4826,4,0,0,0,0,0,0,0,0,1,0,0,0,28,3,1,1,0,1,0,0,0,0,0,39
ari5#1107,8,0,0,0,0,0,0,0,2,1,1,1,0,18,5,2,5,0,2,0,0,0,0,0,45
uglybass#1046,1,0,2,0,0,0,0,0,0,0,0,14,4,23,0,0,0,0,18,89,29,3,0,0,183
FatMac#8726,3,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,9
bokchoiii#2235,7,12,0,0,0,0,0,0,0,0,0,0,0,98,1,24,11,3,0,0,0,1,34,49,240
breezyexcursion#9570,6,0,0,0,0,0,0,0,6,1,0,0,0,0,8,0,0,0,4,0,1,2,0,3,31
Heyzeus#5605,3,3,0,0,0,0,0,0,0,0,0,0,3,28,16,23,18,4,7,30,21,5,8,17,186
crackprosh#2221,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,50,116
Armando#9710,2,3,0,0,0,0,0,0,0,0,0,0,1,0,21,57,29,23,49,41,0,0,0,47,273
soup#8488,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,12,20,13,30,6,3,21,134
Lee🐧#0890,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Sicachu#9075,0,0,0,0,0,1,11,4,0,7,0,8,18,59,18,32,33,25,52,46,22,8,46,39,429
wlofaubro#7636,0,0,0,0,0,0,8,1,0,3,1,0,6,0,0,6,1,18,19,39,12,0,0,0,114
Hosea#8894,0,0,0,0,0,0,2,0,0,1,0,0,0,3,14,9,18,6,26,57,27,1,0,0,164
Komb#7546,0,0,0,0,0,0,0,1,0,2,3,0,8,0,0,0,0,0,0,0,14,15,3,0,46
BatmanVonDoom#4077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,3,1,2,7,22,0,0,10,4,0,0,0,0,0,0,0,49
Hiten#5040,0,0,0,0,0,0,0,0,4,7,1,0,1,36,0,0,3,4,3,0,10,5,0,9,83
MegaTech#3319,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
cdorner#9745,0,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,1,13,0,14,0,5,7,48
teepan#5598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3
kbelf93#4338,0,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0,0,15,67,17,5,0,0,140
Tatsumaki#8792,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,2,9
Instagig#8979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Barinade88#3367,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,2,16,2,23,18,13,0,0,17,158
Drewnami#6797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
lapiz#8266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
peace#6911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
total,45,34,3,0,0,1,43,8,17,28,20,59,71,428,124,214,144,98,302,410,226,69,138,261,2743
