user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Lee🐧#0890,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,26,6,3,8,53
Tatsumaki#8792,1,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,0,2,1,3,0,1,3,0,21
crackprosh#2221,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
bokchoiii#2235,1,0,0,0,0,0,0,0,0,0,2,36,1,8,0,0,0,0,0,12,149,21,78,3,311
Barinade88#3367,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,4,0,44
uglybass#1046,0,4,1,0,0,0,0,0,0,0,0,0,0,12,17,2,0,0,0,0,0,70,37,5,148
alexadorable#0434,0,2,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14
Heyzeus#5605,0,1,0,0,0,0,0,0,0,0,25,16,12,5,28,0,0,0,1,0,9,10,7,2,116
Armando#9710,0,0,9,0,0,0,0,0,0,0,0,8,18,5,5,27,9,0,1,13,13,5,0,17,130
jesus115#9404,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SunbreakerforLife#6989,0,0,0,3,0,0,0,0,0,0,8,13,2,0,0,0,0,0,2,4,2,26,5,0,65
Hosea#8894,0,0,0,0,0,0,0,1,0,0,4,9,10,9,2,13,16,6,16,4,38,33,2,4,167
wlofaubro#7636,0,0,0,0,0,0,0,1,0,1,31,41,2,8,2,2,2,5,13,4,8,63,0,0,183
cdorner#9745,0,0,0,0,0,0,0,1,0,5,0,5,2,0,0,10,5,5,10,2,3,0,1,0,49
Sicachu#9075,0,0,0,0,0,0,0,0,1,0,31,59,24,6,26,29,20,8,17,40,82,92,22,41,498
Komb#7546,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23,10,6,7,48
breezyexcursion#9570,0,0,0,0,0,0,0,0,0,1,27,20,14,1,1,0,0,16,12,0,0,3,0,0,95
Hiten#5040,0,0,0,0,0,0,0,0,0,1,0,61,1,7,0,0,0,10,13,8,26,20,0,0,147
My_Own_Persona#8389,0,0,0,0,0,0,0,0,0,0,10,5,5,6,0,0,0,0,0,0,0,0,0,0,26
kbelf93#4338,0,0,0,0,0,0,0,0,0,0,104,35,11,0,0,17,0,0,8,0,0,0,54,10,239
renavlt#4826,0,0,0,0,0,0,0,0,0,0,19,17,12,5,5,7,7,3,2,4,18,3,17,13,132
ari5#1107,0,0,0,0,0,0,0,0,0,0,15,1,4,2,1,9,1,5,0,15,1,2,6,1,63
FatMac#8726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,4
TK#9181,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,25
soup#8488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,4,0,0,0,28
Neoconkers#1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68,1,87
Zeni#9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
total,9,7,19,4,2,0,0,3,2,8,276,364,124,77,89,118,72,60,100,123,421,400,314,118,2710
