user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Heyzeus#5605,2,1,0,0,0,0,0,0,0,0,0,0,1,11,2,3,1,5,0,0,0,0,1,2,29
ari5#1107,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,3,0,1,0,0,12
Lee🐧#0890,13,14,0,0,0,0,0,0,0,0,0,0,2,7,23,1,1,0,0,0,0,1,0,2,64
crackprosh#2221,2,10,5,0,0,0,0,0,0,0,0,3,3,0,9,8,1,40,1,2,0,0,0,1,85
zithers#4885,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
jesus115#9404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
cdorner#9745,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,8
Hosea#8894,0,0,0,0,0,0,0,1,2,0,9,2,2,28,5,0,0,14,0,3,1,10,0,0,77
MegaTech#3319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,8
Hiten#5040,0,0,0,0,0,0,0,1,6,1,8,4,8,15,66,16,0,24,5,1,0,0,3,11,169
breezyexcursion#9570,0,0,0,0,0,0,0,0,3,0,1,1,3,19,7,2,9,3,0,3,4,13,6,4,78
wlofaubro#7636,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,1,0,0,2,14,6,0,0,30
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,3,15,1,11,5,11,10,0,34,0,0,0,0,0,0,90
Paul#5461,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barinade88#3367,0,0,0,0,0,0,0,0,0,1,5,4,26,29,44,2,5,36,9,5,1,0,0,0,167
renavlt#4826,0,0,0,0,0,0,0,0,0,0,5,0,12,13,23,1,0,26,1,1,0,0,0,0,82
Chucky#6989,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,6,9,4,1,0,0,0,0,0,30
Tatsumaki#8792,0,0,0,0,0,0,0,0,0,0,1,0,3,2,12,0,0,0,1,0,1,0,0,1,21
MrMallard#2805,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5
bokchoiii#2235,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,11,0,0,0,32,0,0,76
TK#9181,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
SaltyPirate#1806,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,3,11,0,8,1,0,36
BatmanVonDoom#4077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FatMac#8726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,7
total,21,25,5,0,0,0,2,3,17,6,47,19,107,134,218,63,31,200,21,32,26,74,11,22,1084
