user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Shinroken#0512,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Heyzeus#5605,0,3,0,0,0,0,0,0,5,2,3,2,2,1,18,9,9,8,8,3,0,0,0,1,74
crackprosh#2221,0,9,0,0,0,0,0,0,0,0,0,1,0,1,13,6,4,17,0,8,18,0,20,18,115
bokchoiii#2235,0,8,4,1,19,108,0,0,0,0,0,0,0,11,89,29,13,3,0,25,22,112,41,7,492
MrMallard#2805,0,0,0,0,21,36,13,0,3,0,0,0,0,0,0,0,5,6,0,3,15,5,0,16,123
SaltyPirate#1806,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,12,0,0,38
alexadorable#0434,0,0,0,0,2,39,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,48
Hosea#8894,0,0,0,0,0,1,0,5,10,7,0,1,5,1,7,4,8,4,1,5,5,4,9,0,77
Barinade88#3367,0,0,0,0,0,0,0,11,58,12,5,0,3,3,23,15,7,20,3,20,3,0,2,0,185
cdorner#9745,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0,0,16
wlofaubro#7636,0,0,0,0,0,0,0,1,0,0,5,4,2,19,12,15,1,0,1,10,3,25,0,0,98
Hiten#5040,0,0,0,0,0,0,0,5,85,10,11,3,9,0,1,15,0,1,2,2,8,0,0,14,166
renavlt#4826,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,7,3,7,5,6,0,0,1,0,86
SwordMaster13X#7574,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
breezyexcursion#9570,0,0,0,0,0,0,0,0,5,1,1,0,3,5,7,18,7,12,0,35,0,0,9,3,106
Tatsumaki#8792,0,0,0,0,0,0,0,0,13,2,0,0,1,0,7,2,8,1,0,4,1,4,1,0,44
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,16,7,7,0,0,59,0,5,26,4,51,12,28,2,1,218
ari5#1107,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,8,2,3,11,1,0,1,0,32
FatMac#8726,0,0,0,0,0,0,0,0,0,1,0,0,0,2,16,0,8,1,2,1,0,9,8,0,48
Paul#5461,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,9
soup#8488,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,0,5,16,0,9,0,0,45
Chucky#6989,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,12,3,0,0,4,0,0,0,0,27
TK#9181,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,6,16,0,0,16,35,0,0,100
Neoconkers#1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,13,0,0,0,0,28
Lee🐧#0890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,12,10,5,36
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
Komb#7546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,19,27
Skullface#8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,40,25,0,90
MegaTech#3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
uglybass#1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,34,0,92
ChrasSC#3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
total,2,35,4,1,48,188,15,26,237,54,35,22,28,50,307,144,106,149,35,247,108,355,185,84,2465
