user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Heyzeus#5605,18,1,2,0,0,0,0,0,0,0,2,0,0,9,15,5,4,3,4,3,34,7,23,7,137
soup#8488,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,12,0,0,0,40
crackprosh#2221,1,0,0,0,0,10,3,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,3,33
uglybass#1046,1,1,0,0,0,0,0,0,0,2,0,4,18,1,1,0,0,0,58,34,56,20,2,0,198
Sicachu#9075,5,0,0,0,0,0,1,0,0,0,12,40,22,47,46,22,8,7,8,14,41,6,10,0,289
bokchoiii#2235,7,8,0,0,5,5,4,0,0,0,0,0,22,0,0,0,9,0,59,31,0,5,38,0,193
Armando#9710,31,3,8,1,4,15,6,0,0,0,0,54,59,64,132,31,78,40,31,36,0,0,6,11,610
Komb#7546,1,0,0,0,0,0,0,0,5,13,8,0,7,0,0,2,0,0,28,3,8,39,57,6,177
renavlt#4826,6,0,0,0,0,0,0,0,0,0,2,3,2,5,42,10,3,9,2,3,22,3,10,0,122
Drewnami#6797,7,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15
Tee#0043,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11
SunbreakerforLife#6989,0,0,15,0,0,0,0,0,0,0,5,37,14,3,17,1,0,5,2,0,1,33,24,21,178
alexadorable#0434,0,0,1,0,0,0,7,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,42
NigerianKnightmare#9835,0,0,1,0,0,0,0,0,0,2,0,0,0,51,36,0,0,0,7,5,16,1,2,3,124
lapiz#8266,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32
kbelf93#4338,0,0,0,0,0,0,36,48,0,0,0,54,35,57,60,14,69,5,62,28,30,0,0,0,498
Tatsumaki#8792,0,0,0,0,0,0,1,0,0,2,0,1,0,1,30,2,0,3,0,2,30,0,1,0,73
Hosea#8894,0,0,0,0,0,0,0,6,2,12,4,7,4,0,44,0,8,20,11,5,1,5,3,0,132
Barinade88#3367,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,2,0,3,1,0,0,0,0,25
ShottaBiggs#6516,0,0,0,0,0,0,0,12,3,2,1,0,0,0,38,0,0,0,0,0,0,0,0,0,56
wlofaubro#7636,0,0,0,0,0,0,0,1,0,8,5,71,2,3,3,43,4,13,3,8,37,2,0,0,203
cdorner#9745,0,0,0,0,0,0,0,4,1,1,4,7,0,0,1,0,0,0,0,5,1,2,9,0,35
breezyexcursion#9570,0,0,0,0,0,0,0,0,3,5,1,0,0,0,4,5,28,1,32,0,5,17,16,1,118
ari5#1107,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,3,0,3,0,0,1,0,0,12
Hiten#5040,0,0,0,0,0,0,0,0,0,27,1,2,24,13,64,27,5,36,2,0,16,3,0,1,221
MegaTech#3319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Skullface#8293,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
Lee🐧#0890,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6
AdidjaPalmer#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,34,0,0,0,0,0,0,6,69
peace#6911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FatMac#8726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Zeni#9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,6
MrMallard#2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
TK#9181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,27
Instagig#8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
total,97,20,29,4,11,30,58,76,14,91,48,282,223,257,583,195,257,148,327,178,310,160,218,88,3704
