user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Armando#9710,2,7,61,0,0,0,0,0,0,0,0,0,0,0,53,7,5,124,27,13,4,18,0,0,321
SunbreakerforLife#6989,1,1,0,0,0,0,0,0,0,9,4,1,0,7,61,8,13,22,0,2,0,0,0,0,129
Komb#7546,34,36,44,1,0,0,0,0,0,35,19,10,1,0,0,0,0,0,0,0,0,0,12,0,192
Drewnami#6797,29,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,80
Lee🐧#0890,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
crackprosh#2221,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,44
Heyzeus#5605,0,4,6,0,0,0,0,0,0,0,0,7,0,19,40,3,2,17,12,11,31,11,3,3,169
bokchoiii#2235,0,0,0,2,11,0,0,0,18,0,0,0,0,44,212,3,12,0,0,0,8,9,0,0,319
alexadorable#0434,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,18
Hiten#5040,0,0,0,0,3,3,1,0,15,0,0,0,0,5,6,0,0,0,1,10,3,0,11,0,58
Hosea#8894,0,0,0,0,0,0,3,0,21,13,7,9,0,2,6,8,0,0,22,20,5,40,12,0,168
Sicachu#9075,0,0,0,0,0,0,3,10,13,35,3,0,0,41,21,5,0,66,0,0,0,0,1,3,201
uglybass#1046,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,32,0,0,42
kbelf93#4338,0,0,0,0,0,0,0,48,133,183,86,68,0,0,0,0,0,109,19,11,8,1,2,0,668
breezyexcursion#9570,0,0,0,0,0,0,0,0,7,2,0,0,0,5,0,1,0,4,1,5,11,1,3,0,40
Tatsumaki#8792,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,5,3,0,0,0,1,1,0,15
ari5#1107,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,2,4,0,0,0,0,0,0,13
Barinade88#3367,0,0,0,0,0,0,0,0,1,0,1,0,0,0,52,1,17,41,9,28,8,0,9,2,169
wlofaubro#7636,0,0,0,0,0,0,0,0,11,17,3,0,0,21,18,3,0,11,42,42,9,58,0,0,235
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,1,92,18,3,1,1,1,4,5,5,0,0,13,0,0,0,144
FatMac#8726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BatmanVonDoom#4077,0,0,0,0,0,0,0,0,0,48,29,6,0,0,30,9,0,0,0,0,0,0,0,0,122
MegaTech#3319,0,0,0,0,0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,3,0,0,0,0,18
cdorner#9745,0,0,0,0,0,0,0,0,0,12,7,0,2,2,8,4,1,0,9,15,18,2,0,0,80
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,54,20,2,1,86
soup#8488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,22,0,6,0,0,0,0,35
ChrasSC#3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,23
renavlt#4826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
total,78,74,143,3,21,3,7,59,223,461,178,105,5,151,522,64,66,450,143,190,185,193,64,10,3398
