user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Hosea#8894,14,0,0,0,0,0,0,0,0,0,8,4,0,7,0,0,1,0,9,14,1,0,1,0,59
ari5#1107,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,7
Heyzeus#5605,1,2,0,2,0,0,0,0,0,0,0,0,0,1,6,4,9,1,0,3,6,4,0,0,39
Barinade88#3367,2,0,0,0,0,0,0,0,0,0,6,26,38,0,0,4,21,22,37,22,6,1,0,0,185
bokchoiii#2235,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19
Lee🐧#0890,11,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,3,0,0,0,0,0,0,21
SaltyPirate#1806,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,16,16,22,0,0,4,4,0,0,71
Tatsumaki#8792,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,12,2,1,1,0,0,21
crackprosh#2221,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,4,0,0,30
Chucky#6989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,3,0,16
breezyexcursion#9570,0,0,0,0,0,0,0,0,1,1,2,0,0,6,1,14,5,4,4,5,8,26,0,0,77
wlofaubro#7636,0,0,0,0,0,0,0,0,5,8,0,6,0,12,3,10,24,21,5,4,30,40,20,0,188
cdorner#9745,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5
FatMac#8726,0,0,0,0,0,0,0,0,0,1,8,2,3,6,1,0,3,2,0,0,0,3,0,0,29
MegaTech#3319,0,0,0,0,0,0,0,0,0,1,2,0,9,0,0,0,2,14,3,0,0,1,0,0,32
Hiten#5040,0,0,0,0,0,0,0,0,0,1,4,55,73,22,2,6,5,0,0,3,0,0,11,0,182
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,0,5,38,28,0,4,0,48,52,20,0,10,25,12,0,242
renavlt#4826,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,9,9,10,8,9,3,0,76
soup#8488,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,8
MrMallard#2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
My_Own_Persona#8389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3
Paul#5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
TK#9181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
ChrasSC#3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
peace#6911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
total,52,3,4,3,0,0,0,0,6,13,35,133,191,60,27,55,137,153,116,87,78,134,52,0,1339
