user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Heyzeus#5605,3,0,0,0,0,0,2,0,0,0,4,2,10,29,3,14,0,2,1,0,13,0,9,14,106
uglybass#1046,4,0,0,0,0,0,0,0,0,0,0,0,121,112,4,1,0,0,0,23,50,14,0,0,329
SunbreakerforLife#6989,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,44,2,12,0,0,13,23,10,121
Lee🐧#0890,1,2,0,0,0,0,0,0,0,0,0,1,16,7,0,0,0,0,0,0,0,0,0,0,27
zithers#4885,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
crackprosh#2221,0,3,10,0,0,0,0,0,0,0,0,0,64,54,22,9,14,12,0,0,0,0,0,0,188
Drewnami#6797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bokchoiii#2235,0,0,11,0,1,3,0,0,0,0,0,0,139,174,3,7,31,7,0,0,0,7,122,10,515
jesus115#9404,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
wlofaubro#7636,0,0,0,0,0,1,0,29,7,8,12,0,21,0,0,53,0,2,10,36,60,18,0,0,257
cdorner#9745,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,4,11,2,2,1,0,27
evae#8174,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hosea#8894,0,0,0,0,0,0,1,11,0,2,0,3,2,1,4,6,6,3,3,3,28,4,0,0,77
breezyexcursion#9570,0,0,0,0,0,0,0,3,1,0,0,5,2,0,2,23,1,4,8,23,12,17,3,34,138
Hiten#5040,0,0,0,0,0,0,0,3,7,6,17,1,12,42,13,127,70,10,8,1,0,0,5,11,333
Sicachu#9075,0,0,0,0,0,0,0,1,8,15,9,7,41,26,31,37,54,1,0,0,16,66,33,22,367
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,28,10,0,0,23,0,6,0,0,0,0,0,0,0,0,67
ari5#1107,0,0,0,0,0,0,0,0,0,0,14,5,7,7,8,3,8,0,0,0,0,1,0,1,54
Barinade88#3367,0,0,0,0,0,0,0,0,0,0,5,3,45,38,6,25,48,2,0,0,0,0,0,0,172
renavlt#4826,0,0,0,0,0,0,0,0,0,0,6,0,0,9,13,29,70,1,0,0,0,21,2,10,161
FatMac#8726,0,0,0,0,0,0,0,0,0,0,0,3,19,4,0,0,0,0,0,0,0,0,0,0,26
Tatsumaki#8792,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1,3,3,1,0,1,1,0,0,0,23
teepan#5598,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,11
Armando#9710,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,61,20,3,1,2,0,0,0,10,119
MegaTech#3319,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
TK#9181,0,0,0,0,0,0,0,0,0,0,0,0,77,53,10,7,0,0,0,0,0,0,0,22,169
soup#8488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,0,24,110,9,0,159
John#6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
Komb#7546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,35,229,268,162,138,861
total,9,9,23,1,1,4,7,47,25,59,77,35,583,607,152,417,375,69,63,135,435,541,369,282,4325
